,date,likes,comments,reposts,link
0,1,91,111,6,https://www.linkedin.com/feed/update/None
1,1,27,3,0,https://www.linkedin.com/feed/update/None
2,1,170,61,9,https://www.linkedin.com/feed/update/None
3,1,632,137,14,https://www.linkedin.com/feed/update/None
4,1,11,1,0,https://www.linkedin.com/feed/update/None
5,1,68,14,1,https://www.linkedin.com/feed/update/None
6,1,56,16,0,https://www.linkedin.com/feed/update/None
7,1,91,23,1,https://www.linkedin.com/feed/update/None
8,1,95,7,0,https://www.linkedin.com/feed/update/None
9,1,190,18,2,https://www.linkedin.com/feed/update/None
10,1,28,3,1,https://www.linkedin.com/feed/update/None
11,1,618,133,41,https://www.linkedin.com/feed/update/None
12,1,222,23,4,https://www.linkedin.com/feed/update/None
13,1,20,2,0,https://www.linkedin.com/feed/update/None
14,1,134,34,6,https://www.linkedin.com/feed/update/None
15,1,373,70,12,https://www.linkedin.com/feed/update/None
16,1,106,17,7,https://www.linkedin.com/feed/update/None
17,1,233,17,9,https://www.linkedin.com/feed/update/None
18,1,12,0,0,https://www.linkedin.com/feed/update/None
19,1,145,24,1,https://www.linkedin.com/feed/update/None
20,1,227,23,19,https://www.linkedin.com/feed/update/None
21,1,89,8,0,https://www.linkedin.com/feed/update/None
22,1,21,4,2,https://www.linkedin.com/feed/update/None
23,1,785,415,27,https://www.linkedin.com/feed/update/None
24,1,276,34,14,https://www.linkedin.com/feed/update/None
25,1,109,15,0,https://www.linkedin.com/feed/update/None
26,1,133,21,3,https://www.linkedin.com/feed/update/None
27,1,177,37,3,https://www.linkedin.com/feed/update/None
28,1,365,28,0,https://www.linkedin.com/feed/update/None
29,1,33,5,0,https://www.linkedin.com/feed/update/None
30,1,42,13,1,https://www.linkedin.com/feed/update/None
31,1,71,29,5,https://www.linkedin.com/feed/update/None
32,1,213,30,9,https://www.linkedin.com/feed/update/None
33,1,302,52,6,https://www.linkedin.com/feed/update/None
34,1,63,16,0,https://www.linkedin.com/feed/update/None
35,1,100,32,2,https://www.linkedin.com/feed/update/None
36,1,475,248,26,https://www.linkedin.com/feed/update/None
37,1,256,64,4,https://www.linkedin.com/feed/update/None
38,1,38,10,0,https://www.linkedin.com/feed/update/None
39,1,126,17,2,https://www.linkedin.com/feed/update/None
40,1,151,17,4,https://www.linkedin.com/feed/update/None
41,1,355,160,14,https://www.linkedin.com/feed/update/None
42,1,29,21,1,https://www.linkedin.com/feed/update/None
43,2,13,1,0,https://www.linkedin.com/feed/update/None
44,2,58,21,7,https://www.linkedin.com/feed/update/None
45,2,234,33,5,https://www.linkedin.com/feed/update/None
46,2,34,14,1,https://www.linkedin.com/feed/update/None
47,2,9,1,0,https://www.linkedin.com/feed/update/None
48,2,255,125,12,https://www.linkedin.com/feed/update/None
49,2,27,23,0,https://www.linkedin.com/feed/update/None
50,2,10,0,0,https://www.linkedin.com/feed/update/None
51,2,325,49,5,https://www.linkedin.com/feed/update/None
52,2,39,6,2,https://www.linkedin.com/feed/update/None
53,2,36,8,0,https://www.linkedin.com/feed/update/None
54,2,12,1,0,https://www.linkedin.com/feed/update/None
55,2,391,37,11,https://www.linkedin.com/feed/update/None
56,2,78,9,1,https://www.linkedin.com/feed/update/None
57,2,225,322,6,https://www.linkedin.com/feed/update/None
58,2,117,17,4,https://www.linkedin.com/feed/update/None
59,2,60,16,1,https://www.linkedin.com/feed/update/None
60,2,16,1,1,https://www.linkedin.com/feed/update/None
61,2,270,51,5,https://www.linkedin.com/feed/update/None
62,2,307,45,10,https://www.linkedin.com/feed/update/None
63,2,252,80,6,https://www.linkedin.com/feed/update/None
64,2,52,10,1,https://www.linkedin.com/feed/update/None
65,2,24,3,0,https://www.linkedin.com/feed/update/None
66,2,129,29,0,https://www.linkedin.com/feed/update/None
67,2,252,97,6,https://www.linkedin.com/feed/update/None
68,2,3751,784,41,https://www.linkedin.com/feed/update/None
69,2,67,8,1,https://www.linkedin.com/feed/update/None
70,3,124,9,2,https://www.linkedin.com/feed/update/None
71,3,38,5,1,https://www.linkedin.com/feed/update/None
72,3,10,0,0,https://www.linkedin.com/feed/update/None
73,3,260,253,13,https://www.linkedin.com/feed/update/None
74,3,291,28,0,https://www.linkedin.com/feed/update/None
75,3,891,48,10,https://www.linkedin.com/feed/update/None
76,3,5,0,0,https://www.linkedin.com/feed/update/None
77,3,145,33,4,https://www.linkedin.com/feed/update/None
78,3,176,38,0,https://www.linkedin.com/feed/update/None
79,3,17,2,0,https://www.linkedin.com/feed/update/None
80,3,56,43,1,https://www.linkedin.com/feed/update/None
81,3,57,3,2,https://www.linkedin.com/feed/update/None
82,3,109,18,0,https://www.linkedin.com/feed/update/None
83,3,30,2,0,https://www.linkedin.com/feed/update/None
84,3,9,0,0,https://www.linkedin.com/feed/update/None
85,3,10,0,0,https://www.linkedin.com/feed/update/None
86,3,21,2,0,https://www.linkedin.com/feed/update/None
87,3,38,6,1,https://www.linkedin.com/feed/update/None
88,3,124,25,5,https://www.linkedin.com/feed/update/None
