,date,likes,comments,reposts,link
0,1,113,3,0,https://www.linkedin.com/feed/update/None
1,1,81,3,0,https://www.linkedin.com/feed/update/None
2,1,42,5,0,https://www.linkedin.com/feed/update/None
3,1,132,13,0,https://www.linkedin.com/feed/update/None
4,1,161,3,0,https://www.linkedin.com/feed/update/None
5,1,101,1,0,https://www.linkedin.com/feed/update/None
6,1,163,6,0,https://www.linkedin.com/feed/update/None
7,1,146,1,0,https://www.linkedin.com/feed/update/None
8,1,86,0,0,https://www.linkedin.com/feed/update/None
9,1,171,2,3,https://www.linkedin.com/feed/update/None
10,3,113,1,0,https://www.linkedin.com/feed/update/None
11,3,297,7,0,https://www.linkedin.com/feed/update/None
