,date,likes,comments,reposts,link
0,1,36,8,0,https://www.linkedin.com/feed/update/None
1,1,36,15,0,https://www.linkedin.com/feed/update/None
2,1,32,11,0,https://www.linkedin.com/feed/update/None
3,1,18,2,0,https://www.linkedin.com/feed/update/None
4,1,70,4,0,https://www.linkedin.com/feed/update/None
5,1,36,2,0,https://www.linkedin.com/feed/update/None
6,1,25,3,1,https://www.linkedin.com/feed/update/None
7,1,40,11,2,https://www.linkedin.com/feed/update/None
8,1,18,2,0,https://www.linkedin.com/feed/update/None
9,1,65,30,1,https://www.linkedin.com/feed/update/None
10,1,22,4,0,https://www.linkedin.com/feed/update/None
11,1,25,5,0,https://www.linkedin.com/feed/update/None
12,1,15,0,0,https://www.linkedin.com/feed/update/None
13,1,43,12,0,https://www.linkedin.com/feed/update/None
14,1,43,2,0,https://www.linkedin.com/feed/update/None
15,1,29,2,0,https://www.linkedin.com/feed/update/None
16,1,24,3,2,https://www.linkedin.com/feed/update/None
17,1,57,5,1,https://www.linkedin.com/feed/update/None
18,1,27,2,0,https://www.linkedin.com/feed/update/None
19,1,35,6,0,https://www.linkedin.com/feed/update/None
20,1,15,0,0,https://www.linkedin.com/feed/update/None
21,1,56,7,0,https://www.linkedin.com/feed/update/None
22,1,36,1,0,https://www.linkedin.com/feed/update/None
23,1,55,8,0,https://www.linkedin.com/feed/update/None
24,2,22,1,1,https://www.linkedin.com/feed/update/None
25,2,38,0,0,https://www.linkedin.com/feed/update/None
26,2,57,2,0,https://www.linkedin.com/feed/update/None
27,2,49,5,0,https://www.linkedin.com/feed/update/None
28,2,37,3,0,https://www.linkedin.com/feed/update/None
29,2,32,9,0,https://www.linkedin.com/feed/update/None
30,2,55,11,1,https://www.linkedin.com/feed/update/None
31,2,20,1,0,https://www.linkedin.com/feed/update/None
32,2,50,2,0,https://www.linkedin.com/feed/update/None
33,2,37,0,0,https://www.linkedin.com/feed/update/None
34,2,1,0,0,https://www.linkedin.com/feed/update/None
35,2,62,5,0,https://www.linkedin.com/feed/update/None
36,3,38,4,0,https://www.linkedin.com/feed/update/None
37,3,22,5,0,https://www.linkedin.com/feed/update/None
38,3,44,5,0,https://www.linkedin.com/feed/update/None
