,date,likes,comments,reposts,link
0,1,1325,21,47,https://www.linkedin.com/feed/update/None
1,1,394,3,14,https://www.linkedin.com/feed/update/None
2,1,452,12,17,https://www.linkedin.com/feed/update/None
3,1,1224,7,35,https://www.linkedin.com/feed/update/None
4,1,785,6,46,https://www.linkedin.com/feed/update/None
5,1,1185,9,63,https://www.linkedin.com/feed/update/None
6,1,5052,81,174,https://www.linkedin.com/feed/update/None
7,2,6613,186,326,https://www.linkedin.com/feed/update/None
8,2,431,2,19,https://www.linkedin.com/feed/update/None
9,2,1286,8,11,https://www.linkedin.com/feed/update/None
10,2,673,1,8,https://www.linkedin.com/feed/update/None
11,3,1243,12,16,https://www.linkedin.com/feed/update/None
12,3,478,2,37,https://www.linkedin.com/feed/update/None
13,3,487,3,17,https://www.linkedin.com/feed/update/None
14,3,1939,25,33,https://www.linkedin.com/feed/update/None
