,date,likes,comments,reposts,link
0,1,71,23,0,https://www.linkedin.com/feed/update/None
1,1,169,35,0,https://www.linkedin.com/feed/update/None
2,1,85,6,1,https://www.linkedin.com/feed/update/None
3,1,64,7,1,https://www.linkedin.com/feed/update/None
4,1,62,0,0,https://www.linkedin.com/feed/update/None
5,1,206,27,1,https://www.linkedin.com/feed/update/None
6,1,115,20,0,https://www.linkedin.com/feed/update/None
7,1,13,2,0,https://www.linkedin.com/feed/update/None
8,1,1132,95,3,https://www.linkedin.com/feed/update/None
9,2,144,17,0,https://www.linkedin.com/feed/update/None
10,2,70,10,0,https://www.linkedin.com/feed/update/None
11,3,249,60,3,https://www.linkedin.com/feed/update/None
12,3,84,17,0,https://www.linkedin.com/feed/update/None
13,3,6995,127,237,https://www.linkedin.com/feed/update/None
14,3,392,32,6,https://www.linkedin.com/feed/update/None
15,3,147,20,2,https://www.linkedin.com/feed/update/None
16,3,116,14,0,https://www.linkedin.com/feed/update/None
