,date,likes,comments,reposts,link
0,1,130,0,6,https://www.linkedin.com/feed/update/None
1,1,62,1,10,https://www.linkedin.com/feed/update/None
2,1,94,0,3,https://www.linkedin.com/feed/update/None
3,1,77,2,5,https://www.linkedin.com/feed/update/None
4,1,70,0,4,https://www.linkedin.com/feed/update/None
5,1,100,2,2,https://www.linkedin.com/feed/update/None
6,1,201,3,5,https://www.linkedin.com/feed/update/None
7,1,379,3,31,https://www.linkedin.com/feed/update/None
8,1,113,7,0,https://www.linkedin.com/feed/update/None
9,2,116,0,2,https://www.linkedin.com/feed/update/None
10,2,58,2,1,https://www.linkedin.com/feed/update/None
11,2,118,0,1,https://www.linkedin.com/feed/update/None
12,2,43,0,0,https://www.linkedin.com/feed/update/None
13,2,64,0,0,https://www.linkedin.com/feed/update/None
14,2,145,2,4,https://www.linkedin.com/feed/update/None
15,2,147,3,11,https://www.linkedin.com/feed/update/None
16,3,144,1,3,https://www.linkedin.com/feed/update/None
17,3,99,7,0,https://www.linkedin.com/feed/update/None
18,3,142,11,2,https://www.linkedin.com/feed/update/None
19,3,337,2,4,https://www.linkedin.com/feed/update/None
20,3,220,5,12,https://www.linkedin.com/feed/update/None
21,3,184,0,0,https://www.linkedin.com/feed/update/None
