,date,likes,comments,reposts,link
0,1,46,4,1,https://www.linkedin.com/feed/update/None
1,1,28,0,1,https://www.linkedin.com/feed/update/None
2,1,357,41,13,https://www.linkedin.com/feed/update/None
3,1,66,1,2,https://www.linkedin.com/feed/update/None
4,1,29,1,1,https://www.linkedin.com/feed/update/None
5,1,58,3,0,https://www.linkedin.com/feed/update/None
6,1,89,1,0,https://www.linkedin.com/feed/update/None
7,1,172,4,4,https://www.linkedin.com/feed/update/None
8,1,55,0,1,https://www.linkedin.com/feed/update/None
9,1,42,1,3,https://www.linkedin.com/feed/update/None
10,1,77,5,0,https://www.linkedin.com/feed/update/None
11,1,50,2,0,https://www.linkedin.com/feed/update/None
12,1,42,1,0,https://www.linkedin.com/feed/update/None
13,1,77,1,1,https://www.linkedin.com/feed/update/None
14,1,62,5,5,https://www.linkedin.com/feed/update/None
15,1,70,3,2,https://www.linkedin.com/feed/update/None
16,1,84,5,4,https://www.linkedin.com/feed/update/None
17,1,108,9,0,https://www.linkedin.com/feed/update/None
18,2,58,1,1,https://www.linkedin.com/feed/update/None
19,2,105,7,0,https://www.linkedin.com/feed/update/None
20,2,89,2,6,https://www.linkedin.com/feed/update/None
21,2,81,2,0,https://www.linkedin.com/feed/update/None
22,2,73,2,2,https://www.linkedin.com/feed/update/None
23,2,111,1,0,https://www.linkedin.com/feed/update/None
24,2,53,0,0,https://www.linkedin.com/feed/update/None
25,2,93,2,1,https://www.linkedin.com/feed/update/None
26,3,129,1,4,https://www.linkedin.com/feed/update/None
27,3,113,1,1,https://www.linkedin.com/feed/update/None
