,date,likes,comments,reposts,link
0,1,613,67,8,https://www.linkedin.com/feed/update/None
1,1,1545,61,28,https://www.linkedin.com/feed/update/None
2,1,6379,227,114,https://www.linkedin.com/feed/update/None
3,1,643,73,7,https://www.linkedin.com/feed/update/None
4,1,1117,883,24,https://www.linkedin.com/feed/update/None
5,1,1473,144,34,https://www.linkedin.com/feed/update/None
6,1,874,155,2,https://www.linkedin.com/feed/update/None
7,1,1159,74,9,https://www.linkedin.com/feed/update/None
8,1,713,112,5,https://www.linkedin.com/feed/update/None
9,1,964,126,5,https://www.linkedin.com/feed/update/None
10,1,6285,387,60,https://www.linkedin.com/feed/update/None
11,1,867,93,3,https://www.linkedin.com/feed/update/None
12,1,1501,160,6,https://www.linkedin.com/feed/update/None
13,1,25501,359,703,https://www.linkedin.com/feed/update/None
14,1,1665,137,1,https://www.linkedin.com/feed/update/None
15,1,938,243,8,https://www.linkedin.com/feed/update/None
16,1,1852,202,3,https://www.linkedin.com/feed/update/None
17,1,3977,362,9,https://www.linkedin.com/feed/update/None
18,1,2709,629,12,https://www.linkedin.com/feed/update/None
19,1,1488,215,18,https://www.linkedin.com/feed/update/None
20,1,2085,151,11,https://www.linkedin.com/feed/update/None
21,1,979,165,21,https://www.linkedin.com/feed/update/None
22,1,1050,105,12,https://www.linkedin.com/feed/update/None
23,1,2649,177,12,https://www.linkedin.com/feed/update/None
24,1,2456,249,5,https://www.linkedin.com/feed/update/None
25,1,675,104,6,https://www.linkedin.com/feed/update/None
26,1,3062,343,93,https://www.linkedin.com/feed/update/None
27,2,2333,131,27,https://www.linkedin.com/feed/update/None
28,2,1036,102,5,https://www.linkedin.com/feed/update/None
29,2,3058,156,12,https://www.linkedin.com/feed/update/None
30,2,2189,282,35,https://www.linkedin.com/feed/update/None
31,2,853,71,42,https://www.linkedin.com/feed/update/None
32,2,1814,183,13,https://www.linkedin.com/feed/update/None
33,2,548,99,4,https://www.linkedin.com/feed/update/None
34,2,6036,198,86,https://www.linkedin.com/feed/update/None
35,2,1481,150,25,https://www.linkedin.com/feed/update/None
36,3,1910,119,88,https://www.linkedin.com/feed/update/None
37,3,1156,275,16,https://www.linkedin.com/feed/update/None
38,3,462,52,3,https://www.linkedin.com/feed/update/None
39,3,1139,46,8,https://www.linkedin.com/feed/update/None
40,3,1468,98,34,https://www.linkedin.com/feed/update/None
41,3,2976,147,17,https://www.linkedin.com/feed/update/None
