,date,likes,comments,reposts,link
0,1,33,21,0,https://www.linkedin.com/feed/update/urn:li:activity:7041309486422122496
1,1,191,19,2,https://www.linkedin.com/feed/update/urn:li:activity:7039859928676585472
2,1,186,30,4,https://www.linkedin.com/feed/update/urn:li:activity:7039135158821646336
3,1,95,28,3,https://www.linkedin.com/feed/update/urn:li:activity:7038780314847956992
4,1,114,18,0,https://www.linkedin.com/feed/update/urn:li:activity:7038410377520369664
5,1,336,48,9,https://www.linkedin.com/feed/update/urn:li:activity:7036970847361753088
6,1,71,15,4,https://www.linkedin.com/feed/update/urn:li:activity:7036611773285691392
7,1,204,28,3,https://www.linkedin.com/feed/update/urn:li:activity:7036250379902164992
8,1,145,41,7,https://www.linkedin.com/feed/update/urn:li:activity:7034427471835877377
9,1,151,20,1,https://www.linkedin.com/feed/update/urn:li:activity:7034063655528759296
10,1,93,17,1,https://www.linkedin.com/feed/update/urn:li:activity:7033706965830651904
11,1,63,19,3,https://www.linkedin.com/feed/update/urn:li:activity:7031890345432895489
12,1,94,23,0,https://www.linkedin.com/feed/update/urn:li:activity:7031165348489961472
13,1,20,0,0,https://www.linkedin.com/feed/update/urn:li:activity:7030809893833953280
14,1,17,2,1,https://www.linkedin.com/feed/update/urn:li:activity:7030458914894700545
15,1,96,14,0,https://www.linkedin.com/feed/update/urn:li:activity:7029360397673512960
16,1,124,18,1,https://www.linkedin.com/feed/update/urn:li:activity:7028636788751532032
17,1,121,42,4,https://www.linkedin.com/feed/update/urn:li:activity:7026814447285370880
18,1,79,16,1,https://www.linkedin.com/feed/update/urn:li:activity:7026096980707700736
19,1,197,46,5,https://www.linkedin.com/feed/update/urn:li:activity:7024286285733195776
20,1,80,15,3,https://www.linkedin.com/feed/update/urn:li:activity:7023567019992064000
21,1,161,20,1,https://www.linkedin.com/feed/update/urn:li:activity:7022109437540626432
22,1,170,26,3,https://www.linkedin.com/feed/update/urn:li:activity:7021745548378427392
23,2,1482,163,79,https://www.linkedin.com/feed/update/urn:li:activity:7021021541161172992
24,2,186,31,2,https://www.linkedin.com/feed/update/urn:li:activity:7019223229193965568
25,2,30,1,1,https://www.linkedin.com/feed/update/urn:li:activity:7018902544781344770
26,2,133,30,0,https://www.linkedin.com/feed/update/urn:li:activity:7018490635850522624
27,2,27,23,0,https://www.linkedin.com/feed/update/urn:li:activity:7018119846005460992
28,2,117,7,0,https://www.linkedin.com/feed/update/urn:li:activity:7014530022103220224
29,2,18,2,0,https://www.linkedin.com/feed/update/urn:li:activity:7014222311050366976
30,2,120,17,2,https://www.linkedin.com/feed/update/urn:li:activity:7011601393262166016
31,3,232,31,1,https://www.linkedin.com/feed/update/urn:li:activity:7010877059044360192
32,3,47,20,0,https://www.linkedin.com/feed/update/urn:li:activity:7010512818995089409
33,3,81,15,0,https://www.linkedin.com/feed/update/urn:li:activity:7009077331201826816
34,3,113,20,2,https://www.linkedin.com/feed/update/urn:li:activity:7008342799213330434
35,3,151,17,2,https://www.linkedin.com/feed/update/urn:li:activity:7007996825789947905
36,3,29,0,0,https://www.linkedin.com/feed/update/urn:li:activity:7005944709088993280
37,3,46,10,2,https://www.linkedin.com/feed/update/urn:li:activity:7005803727827664896
38,3,50,16,0,https://www.linkedin.com/feed/update/urn:li:activity:7005438736100384768
39,3,78,19,1,https://www.linkedin.com/feed/update/urn:li:activity:7003990536101462016
40,3,192,57,0,https://www.linkedin.com/feed/update/urn:li:activity:7003686338218598401
41,3,441,72,25,https://www.linkedin.com/feed/update/urn:li:activity:7003264516171964416
42,3,49,4,1,https://www.linkedin.com/feed/update/urn:li:activity:7001455628778885120
43,3,343,48,14,https://www.linkedin.com/feed/update/urn:li:activity:7001103798957940736
