,date,likes,comments,reposts,link
0,1,31,4,0,https://www.linkedin.com/feed/update/None
1,1,248,61,3,https://www.linkedin.com/feed/update/None
2,1,156,39,3,https://www.linkedin.com/feed/update/None
3,1,42,21,1,https://www.linkedin.com/feed/update/None
4,1,155,33,2,https://www.linkedin.com/feed/update/None
5,1,174,56,2,https://www.linkedin.com/feed/update/None
6,1,120,17,1,https://www.linkedin.com/feed/update/None
7,1,88,24,4,https://www.linkedin.com/feed/update/None
8,1,111,25,1,https://www.linkedin.com/feed/update/None
9,1,231,83,2,https://www.linkedin.com/feed/update/None
10,1,253,35,5,https://www.linkedin.com/feed/update/None
11,1,247,32,6,https://www.linkedin.com/feed/update/None
12,1,266,37,3,https://www.linkedin.com/feed/update/None
13,1,44,11,0,https://www.linkedin.com/feed/update/None
14,1,371,73,6,https://www.linkedin.com/feed/update/None
15,1,201,61,3,https://www.linkedin.com/feed/update/None
16,1,416,68,5,https://www.linkedin.com/feed/update/None
17,1,94,12,1,https://www.linkedin.com/feed/update/None
18,1,183,36,3,https://www.linkedin.com/feed/update/None
19,1,262,60,6,https://www.linkedin.com/feed/update/None
20,1,110,16,0,https://www.linkedin.com/feed/update/None
21,1,504,88,4,https://www.linkedin.com/feed/update/None
22,1,399,81,14,https://www.linkedin.com/feed/update/None
23,1,179,32,2,https://www.linkedin.com/feed/update/None
24,1,225,31,8,https://www.linkedin.com/feed/update/None
25,1,89,14,0,https://www.linkedin.com/feed/update/None
26,1,110,20,3,https://www.linkedin.com/feed/update/None
27,1,178,33,0,https://www.linkedin.com/feed/update/None
28,1,767,111,15,https://www.linkedin.com/feed/update/None
29,1,162,27,0,https://www.linkedin.com/feed/update/None
30,1,604,113,4,https://www.linkedin.com/feed/update/None
31,1,472,78,11,https://www.linkedin.com/feed/update/None
32,1,162,43,4,https://www.linkedin.com/feed/update/None
33,1,202,61,4,https://www.linkedin.com/feed/update/None
34,1,342,47,1,https://www.linkedin.com/feed/update/None
35,1,85,28,0,https://www.linkedin.com/feed/update/None
36,1,126,37,0,https://www.linkedin.com/feed/update/None
37,1,154,35,3,https://www.linkedin.com/feed/update/None
38,1,139,21,3,https://www.linkedin.com/feed/update/None
39,1,156,18,4,https://www.linkedin.com/feed/update/None
40,1,677,114,1,https://www.linkedin.com/feed/update/None
41,1,215,57,6,https://www.linkedin.com/feed/update/None
42,1,190,36,0,https://www.linkedin.com/feed/update/None
43,1,184,47,1,https://www.linkedin.com/feed/update/None
44,1,121,22,4,https://www.linkedin.com/feed/update/None
45,1,190,48,2,https://www.linkedin.com/feed/update/None
46,1,170,51,3,https://www.linkedin.com/feed/update/None
47,1,129,33,2,https://www.linkedin.com/feed/update/None
48,1,151,43,1,https://www.linkedin.com/feed/update/None
49,1,191,51,5,https://www.linkedin.com/feed/update/None
50,1,149,32,3,https://www.linkedin.com/feed/update/None
51,1,217,46,0,https://www.linkedin.com/feed/update/None
52,1,309,70,2,https://www.linkedin.com/feed/update/None
53,1,238,92,2,https://www.linkedin.com/feed/update/None
54,1,141,26,0,https://www.linkedin.com/feed/update/None
55,1,107,45,2,https://www.linkedin.com/feed/update/None
56,1,384,88,12,https://www.linkedin.com/feed/update/None
57,1,137,37,0,https://www.linkedin.com/feed/update/None
58,1,261,63,3,https://www.linkedin.com/feed/update/None
59,1,167,51,3,https://www.linkedin.com/feed/update/None
60,1,387,112,9,https://www.linkedin.com/feed/update/None
61,1,226,232,4,https://www.linkedin.com/feed/update/None
62,1,138,95,0,https://www.linkedin.com/feed/update/None
63,1,188,193,2,https://www.linkedin.com/feed/update/None
64,1,387,75,2,https://www.linkedin.com/feed/update/None
